,Equity,Rates,Credit,Carry,Inflation,Commodities,Private Equity,Rates Vol,Fx
Equity,0.02382797826304444,0.001745671846614437,0.006219115715745857,0.002917327783472817,0.002404906976191015,0.00928658318459768,0.001099541698930125,-0.003392123244929619,-0.004087232671853661
Rates,0.001745671846614437,0.003187535460620723,0.0002362220840950127,-0.0006521194827464683,-0.000844800312658983,-0.001114109385227076,-0.000115421790105739,-0.0005814889886939475,-0.001553012562494722
Credit,0.006219115715745857,0.0002362220840950127,0.002192145607215363,0.000851099646043199,0.000727419590038388,0.002173755497643881,0.0005440480722840801,-0.0009317307429910468,-0.0008939126132573185
Carry,0.002917327783472817,-0.0006521194827464683,0.000851099646043199,0.001985779262989429,0.0008873960443031957,0.002929633806859688,0.0007597570386419028,-0.0002573054211292057,0.0002830939801662614
Inflation,0.002404906976191015,-0.000844800312658983,0.000727419590038388,0.0008873960443031957,0.002181975145570674,0.004471075778947628,0.0001830214613456474,-0.0002232824255771444,0.0002796981459456939
Commodities,0.00928658318459768,-0.001114109385227076,0.002173755497643881,0.002929633806859688,0.004471075778947628,0.02567316916555802,-5.123827977503189e-05,-0.00106498991041242,-0.002139057330874054
Private Equity,0.001099541698930125,-0.000115421790105739,0.0005440480722840801,0.0007597570386419028,0.0001830214613456474,-5.123827977503189e-05,0.004986749640984773,8.746160905357211e-05,0.0001270511408498727
Rates Vol,-0.003392123244929619,-0.0005814889886939475,-0.0009317307429910468,-0.0002573054211292057,-0.0002232824255771444,-0.00106498991041242,8.746160905357211e-05,0.002754698052719883,0.0006238164592175398
Fx,-0.004087232671853661,-0.001553012562494722,-0.0008939126132573185,0.0002830939801662614,0.0002796981459456939,-0.002139057330874054,0.0001270511408498727,0.0006238164592175398,0.00476176385265166
