,base,stress,upside
Equity,0.03975619245763692,-0.03840420158825146,0.03082413842707554
Rates,0.01014575,-0.03823428408668372,0.001008515320504833
Credit,0.014205858,-0.001261130847663794,0.01465021218428206
Carry,0.0125,0.002770852876893093,0.004135679341286913
Inflation,0.0075,0.007299327514989606,-0.001540836280882263
Commodities,0.0225,0.02699800364889282,-0.02003739782746437
Private Equity,0.042,-0.01012438098240076,0.01510694511483473
Rates Vol,0.0125,0.01078334545159692,-0.002612976881712537
Fx,0.0,0.02349439356620411,-0.00120671782996653
