Date,NVDA,MSFT,AAPL,AMZN,JPM,WMT,V,JNJ,PG,HD,KO,CSCO,IBM,CVX,UNH,CRM,DIS,AXP,MCD,GS,MRK,CAT,VZ,BA,AMGN,HON,NKE,SHW,MMM,TRV
2003-12-31,0.17727422714233398,16.92633628845215,0.3211289048194885,2.63100004196167,20.37006950378418,11.58980941772461,,28.199182510375977,27.623159408569336,21.381959915161133,13.360286712646484,15.857124328613281,47.586387634277344,19.23291015625,22.893966674804688,,18.46656608581543,30.868276596069336,13.943113327026367,71.22775268554688,20.318729400634766,24.3503360748291,10.635762214660645,29.016904830932617,42.7276496887207,19.66901206970215,6.580337047576904,8.608348846435547,38.31273651123047,23.677906036376953
2004-01-02,0.17635734379291534,16.97580909729004,0.31977659463882446,2.5950000286102295,20.49881362915039,11.425959587097168,,28.199182510375977,27.37700080871582,21.098777770996094,13.254983901977539,15.870205879211426,47.00617599487305,19.121612548828125,23.232378005981445,,18.735689163208008,30.561084747314453,13.920652389526367,70.07341003417969,20.69255256652832,24.2418155670166,10.687302589416504,28.913625717163086,43.1148796081543,19.610187530517578,6.4986348152160645,8.58852481842041,37.56478500366211,23.64803123474121
2004-01-05,0.18208816647529602,17.402523040771484,0.3331507742404938,2.6635000705718994,20.459638595581055,11.386639595031738,,28.36293601989746,27.512542724609375,21.10481071472168,13.27077865600586,16.210521697998047,47.776371002197266,19.491167068481445,22.114826202392578,,19.10771369934082,30.829898834228516,14.055418014526367,70.10951232910156,21.110368728637695,24.90176010131836,10.99654769897461,28.968717575073242,43.1148796081543,19.7101993560791,6.492868423461914,8.724808692932129,38.281185150146484,23.707763671875
2004-01-06,0.18950067460536957,17.46436309814453,0.3319481909275055,2.6514999866485596,20.974628448486328,11.653168678283691,,28.23738670349121,27.374267578125,21.33374786376953,13.215497016906738,16.400306701660156,47.781497955322266,19.38430404663086,22.34305763244629,,19.15520668029785,30.881105422973633,14.223883628845215,69.69108581542969,21.009214401245117,24.4617919921875,11.178461074829102,28.872316360473633,43.253173828125,19.963191986083984,6.487100601196289,8.863578796386719,38.16404342651367,23.52861785888672
2004-01-07,0.19118139147758484,17.445810317993164,0.3394621014595032,2.5950000286102295,21.282503128051758,11.683759689331055,,28.248308181762695,27.13086700439453,21.62896728515625,13.13124942779541,16.7275390625,47.63772964477539,19.137184143066406,22.55161476135254,,19.471820831298828,30.970712661743164,14.268805503845215,71.15560150146484,21.035600662231445,24.194887161254883,11.201438903808594,29.11331558227539,43.82711410522461,19.84552001953125,6.509207725524902,8.821449279785156,37.506187438964844,23.52861785888672
2004-01-08,0.19186916947364807,17.414892196655273,0.3510330021381378,2.51200008392334,21.64634895324707,11.635688781738281,,28.37930679321289,27.415735244750977,21.448225021362305,13.194435119628906,17.237991333007812,47.77122497558594,19.157228469848633,22.598844528198242,,19.756772994995117,30.881105422973633,14.319342613220215,71.24217224121094,21.145549774169922,24.00716209411621,11.373019218444824,29.512699127197266,43.813289642333984,20.798667907714844,6.574567794799805,8.883398056030273,37.25387191772461,23.677906036376953
2004-01-09,0.19461990892887115,17.105680465698242,0.3456229865550995,2.5794999599456787,21.696741104125977,11.4478120803833,,28.057249069213867,27.55678367614746,21.502456665039062,13.054910659790039,17.329618453979492,46.831607818603516,18.950180053710938,22.39421272277832,,19.685529708862305,30.650686264038086,14.122798919677734,70.34037780761719,20.72773551940918,23.596542358398438,11.042118072509766,29.3612003326416,43.564353942871094,20.55743980407715,6.523626804351807,8.742159843444824,37.12771224975586,24.07203483581543
2004-01-12,0.19683614373207092,17.050016403198242,0.35659298300743103,2.6475000381469727,21.713525772094727,11.471839904785156,,28.597652435302734,27.725481033325195,21.207237243652344,13.16547679901123,17.68956756591797,47.00617599487305,18.856678009033203,22.311573028564453,,19.693449020385742,30.529088973999023,14.10034465789795,70.54237365722656,20.18678092956543,24.18314552307129,11.25352668762207,29.202835083007812,43.58510971069336,20.598621368408203,6.617819309234619,8.712422370910645,37.47464370727539,24.770734786987305
2004-01-13,0.1866728514432907,16.963438034057617,0.36245325207710266,2.745500087738037,21.775094985961914,11.526459693908691,,28.521230697631836,27.573368072509766,21.13493537902832,13.086495399475098,17.597936630249023,46.056312561035156,18.856678009033203,22.2368106842041,,19.53514289855957,30.637895584106445,13.836417198181152,70.46300506591797,20.085643768310547,24.197824478149414,11.207565307617188,29.08578109741211,44.08298873901367,20.622163772583008,6.641851425170898,8.702509880065918,37.34397888183594,24.93792724609375
2004-01-14,0.1852973997592926,17.130413055419922,0.36365577578544617,2.7899999618530273,21.954219818115234,11.609472274780273,,28.384761810302734,27.66463279724121,21.36990737915039,13.11019515991211,17.931703567504883,46.3695182800293,19.057035446166992,22.815263748168945,,19.709280014038086,31.201133728027344,14.077878952026367,71.69664001464844,20.358304977416992,24.54977798461914,11.293352127075195,29.684846878051758,44.29042434692383,21.2811222076416,6.649540424346924,8.647993087768555,37.713478088378906,25.057371139526367
2004-01-15,0.18560361862182617,17.03146743774414,0.34336939454078674,2.809000015258789,21.786293029785156,11.685940742492676,,28.29743003845215,27.52082633972168,21.345802307128906,13.09176254272461,17.774639129638672,48.274410247802734,18.796573638916016,22.94118309020996,,19.64596176147461,31.796327590942383,14.122798919677734,72.96640014648438,20.199974060058594,24.56450843811035,11.299483299255371,29.636629104614258,43.66808319091797,21.463516235351562,6.637044429779053,8.566222190856934,37.983821868896484,25.039453506469727
