category,arith_10y,geom_10y,arith_20y,geom_20y,stdev
US Equity - Large Cap,0.0767,0.0639,0.0829,0.0700,0.1654
US Equity - Small/Mid Cap,0.0887,0.0692,0.0935,0.0738,0.2044
Non-US Equity - Developed,0.0858,0.0703,0.0896,0.0735,0.1820
Non-US Equity - Emerging,0.0996,0.0738,0.1063,0.0791,0.2343
US Corporate Bonds - Core,0.0519,0.0500,0.0528,0.0510,0.0622
US Corporate Bonds - Long Duration,0.0561,0.0504,0.0580,0.0528,0.1074
US Corporate Bonds - High Yield,0.0644,0.0597,0.0682,0.0633,0.0977
Non-US Debt - Developed,0.0419,0.0389,0.0429,0.0399,0.0748
Non-US Debt - Emerging,0.0657,0.0603,0.0687,0.0630,0.1062
US Treasuries (Cash Equivalents),0.0360,0.0358,0.0361,0.0359,0.0147
TIPS (Inflation-Protected),0.0463,0.0444,0.0461,0.0441,0.0604
Real Estate,0.0752,0.0621,0.0759,0.0638,0.1624
Hedge Funds,0.0625,0.0592,0.0657,0.0624,0.0797
Commodities,0.0620,0.0467,0.0637,0.0476,0.1783
Infrastructure,0.0830,0.0722,0.0865,0.0752,0.1486
Private Equity,0.1151,0.0913,0.1214,0.0963,0.2218
Private Debt,0.0858,0.0791,0.0871,0.0808,0.1175
Inflation,0.0239,0.0238,0.0241,0.0240,0.0190
