,60/40,BTC,ETH,HFs,PE,RealEstate,SG Macro,SG CTA,Commodities,Gold
2000-06-01,,,,,,,105.95044,983.491499,,
2000-06-02,,,,,,,105.95044,972.771441,,
2000-06-05,,,,,,,105.95044,961.983406,,
2000-06-06,,,,,,,105.95044,955.259142,,
2000-06-07,,,,,,,105.95044,958.75539,,
2000-06-08,,,,,,,105.95044,960.998878,,
2000-06-09,,,,,,,105.95044,967.63938,,
2000-06-12,,,,,,,105.95044,970.097184,,
2000-06-13,,,,,,,105.95044,975.830459,,
2000-06-14,,,,,,,105.95044,976.933148,,
2000-06-15,,,,,,,105.95044,971.071549,,
2000-06-16,,,,,,,105.95044,973.654599,,
2000-06-19,,,,,,4.549139943153225,105.95044,968.620805,,
2000-06-20,,,,,,4.568414612551559,105.95044,968.45614,,
2000-06-21,,,,,,4.590733247297585,105.95044,965.056858,,
2000-06-22,,,,,,4.592762872346357,105.95044,961.399293,,
2000-06-23,,,,,,4.592762872346357,105.95044,964.071983,,
2000-06-26,,,,,,4.528845896384343,105.95044,964.139468,,
2000-06-27,,,,,,4.593778786730161,105.95044,964.766159,,
2000-06-28,,,,,,4.593778786730161,105.95044,962.826979,,
2000-06-29,,,,,,4.593778786730161,105.95044,967.641113,,
2000-06-30,,,,,,4.593778786730161,105.48738,965.096217,,
2000-07-03,,,,,,4.620154467854896,105.48738,964.121469,,
2000-07-04,,,,,,4.620154467854896,105.48738,964.111828,,
2000-07-05,,,,,,4.662764001200037,105.48738,957.40161,,
2000-07-06,,,,,,4.67696665428679,105.48738,954.357073,,
2000-07-07,,,,,,4.711463039325447,105.48738,953.956243,,
2000-07-10,,,,,,4.70740127069209,105.48738,950.74141,,
2000-07-11,,,,,,4.705373219728202,105.48738,950.465695,,
2000-07-12,,,,,,4.683055214616129,105.48738,952.480683,,
2000-07-13,,,,,,4.678996279335562,105.48738,956.843045,,
2000-07-14,,,,,,4.668851617078446,105.48738,955.072886,,
2000-07-17,,,,,,4.689140626775701,105.48738,953.220044,,
2000-07-18,,,,,,4.703346113215243,105.48738,954.220925,,
2000-07-19,,,,,,4.686971537806251,105.48738,951.34872,,
2000-07-20,,,,,,4.693111098485816,105.48738,948.742024,,
2000-07-21,,,,,,4.760651932666599,105.48738,950.222061,,
2000-07-24,,,,,,4.799542533066007,105.48738,946.820266,,
2000-07-25,,,,,,4.79749338936468,105.48738,948.732843,,
