Date,Daily ROR,Index Value
07/07/2020,-0.06%,1284.58
07/06/2020,0.29%,1285.31
07/02/2020,0.16%,1281.65
07/01/2020,0.09%,1279.59
06/30/2020,0.13%,1278.4
06/29/2020,-0.06%,1276.76
06/26/2020,-0.18%,1277.48
06/25/2020,0.09%,1279.82
06/24/2020,-0.15%,1278.65
06/23/2020,0.22%,1280.6
06/22/2020,0.09%,1277.76
06/19/2020,0.10%,1276.57
06/18/2020,0.05%,1275.25
06/17/2020,0.13%,1274.57
06/16/2020,0.45%,1272.86
06/15/2020,-0.07%,1267.16
06/12/2020,0.03%,1268.01
06/11/2020,-0.68%,1267.64
06/10/2020,-0.14%,1276.34
06/09/2020,0.22%,1278.17
06/08/2020,0.33%,1275.38
06/05/2020,0.42%,1271.13
06/04/2020,0.00%,1265.79
06/03/2020,0.20%,1265.82
06/02/2020,0.52%,1263.24
06/01/2020,0.03%,1256.72
05/29/2020,0.01%,1256.38
05/28/2020,0.15%,1256.25
05/27/2020,0.13%,1254.41
05/26/2020,0.27%,1252.75
05/22/2020,0.17%,1249.33
05/21/2020,0.04%,1247.2
05/20/2020,0.11%,1246.7
05/19/2020,0.17%,1245.37
05/18/2020,0.31%,1243.26
05/15/2020,0.09%,1239.42
05/14/2020,-0.13%,1238.28
05/13/2020,-0.08%,1239.94
05/12/2020,-0.03%,1240.92
05/11/2020,0.16%,1241.29
05/08/2020,0.15%,1239.26
05/07/2020,0.01%,1237.46
05/06/2020,0.04%,1237.35
05/05/2020,-0.09%,1236.81
05/04/2020,-0.08%,1237.89
05/01/2020,0.03%,1238.89
04/30/2020,0.14%,1238.51
04/29/2020,0.24%,1236.84
04/28/2020,0.07%,1233.88
04/27/2020,0.15%,1233.05
04/24/2020,0.07%,1231.17
04/23/2020,0.08%,1230.27
04/22/2020,0.19%,1229.33
04/21/2020,-0.41%,1226.99
04/20/2020,-0.02%,1232.05
04/17/2020,0.29%,1232.3
04/16/2020,0.20%,1228.73
04/15/2020,0.00%,1226.24
04/14/2020,0.83%,1226.18
04/13/2020,0.31%,1216.05
04/09/2020,0.14%,1212.23
04/08/2020,0.30%,1210.58
04/07/2020,0.25%,1206.91
04/06/2020,0.44%,1203.89
04/03/2020,-0.09%,1198.6
04/02/2020,0.00%,1199.73
04/01/2020,-0.35%,1199.69
03/31/2020,0.05%,1203.85
03/30/2020,0.30%,1203.2
03/27/2020,0.05%,1199.58
03/26/2020,0.63%,1199.03
03/25/2020,1.00%,1191.54
03/24/2020,0.92%,1179.8
03/23/2020,-0.37%,1169.07
03/20/2020,-0.17%,1173.45
03/19/2020,-0.14%,1175.44
03/18/2020,-1.68%,1177.1
03/17/2020,-0.22%,1197.24
03/16/2020,-1.76%,1199.93
03/13/2020,-1.29%,1221.4
03/12/2020,-0.93%,1237.34
03/11/2020,-0.55%,1248.93
03/10/2020,-0.46%,1255.84
03/09/2020,-1.09%,1261.7
03/06/2020,-0.71%,1275.57
03/05/2020,-0.23%,1284.63
03/04/2020,0.40%,1287.61
03/03/2020,0.18%,1282.45
03/02/2020,0.08%,1280.11
02/28/2020,-0.66%,1279.08
02/27/2020,-0.55%,1287.6
02/26/2020,-0.31%,1294.66
02/25/2020,-0.39%,1298.64
02/24/2020,-0.65%,1303.73
02/21/2020,-0.05%,1312.28
02/20/2020,0.02%,1312.98
02/19/2020,0.15%,1312.76
02/18/2020,-0.07%,1310.77
02/14/2020,0.05%,1311.63
02/13/2020,0.01%,1310.93
02/12/2020,0.21%,1310.77
02/11/2020,0.12%,1308.04
02/10/2020,0.03%,1306.47
02/07/2020,-0.05%,1306.09
02/06/2020,0.32%,1306.7
02/05/2020,0.23%,1302.5
02/04/2020,0.26%,1299.46
02/03/2020,-0.13%,1296.07
01/31/2020,-0.13%,1297.73
01/30/2020,-0.24%,1299.4
01/29/2020,0.11%,1302.51
01/28/2020,0.06%,1301.03
01/27/2020,-0.37%,1300.29
01/24/2020,-0.05%,1305.1
01/23/2020,-0.15%,1305.74
01/22/2020,0.10%,1307.76
01/21/2020,-0.02%,1306.44
01/17/2020,0.16%,1306.67
01/16/2020,0.18%,1304.65
01/15/2020,0.03%,1302.35
01/14/2020,0.08%,1302.02
01/13/2020,0.11%,1300.93
01/10/2020,0.12%,1299.45
01/09/2020,0.39%,1297.89
01/08/2020,-0.07%,1292.9
01/07/2020,0.13%,1293.76
01/06/2020,-0.12%,1292.02
01/03/2020,-0.11%,1293.55
01/02/2020,0.20%,1295.04
12/31/2019,-0.05%,1292.43
12/30/2019,-0.03%,1293.11
12/27/2019,0.22%,1293.46
12/26/2019,0.00%,1290.67
12/24/2019,0.01%,1290.61
12/23/2019,0.10%,1290.44
12/20/2019,0.07%,1289.1
12/19/2019,0.16%,1288.21
12/18/2019,-0.02%,1286.15
12/17/2019,-0.11%,1286.46
12/16/2019,0.23%,1287.84
12/13/2019,0.24%,1284.92
12/12/2019,0.11%,1281.79
12/11/2019,0.11%,1280.44
12/10/2019,-0.06%,1278.99
12/09/2019,0.08%,1279.7
12/06/2019,0.13%,1278.63
12/05/2019,0.10%,1277.02
12/04/2019,0.17%,1275.79
12/03/2019,-0.10%,1273.56
12/02/2019,-0.17%,1274.78
11/29/2019,-0.06%,1276.9
11/27/2019,0.08%,1277.7
11/26/2019,0.32%,1276.65
11/25/2019,0.21%,1272.56
11/22/2019,0.08%,1269.84
11/21/2019,-0.07%,1268.81
11/20/2019,-0.04%,1269.69
11/19/2019,0.00%,1270.15
11/18/2019,0.05%,1270.18
11/15/2019,0.15%,1269.6
11/14/2019,0.11%,1267.65
11/13/2019,-0.01%,1266.2
11/12/2019,-0.01%,1266.29
11/11/2019,-0.05%,1266.47
11/08/2019,-0.05%,1267.04
11/07/2019,0.07%,1267.62
11/06/2019,0.04%,1266.75
11/05/2019,-0.03%,1266.26
11/04/2019,0.15%,1266.68
11/01/2019,0.06%,1264.72
10/31/2019,0.06%,1263.9
10/30/2019,-0.01%,1263.1
10/29/2019,0.02%,1263.2
10/28/2019,-0.01%,1262.89
10/25/2019,0.06%,1263
10/24/2019,0.06%,1262.19
10/23/2019,0.08%,1261.4
10/22/2019,0.00%,1260.36
10/21/2019,0.01%,1260.35
10/18/2019,0.01%,1260.26
10/17/2019,-0.06%,1260.18
10/16/2019,0.02%,1260.91
10/15/2019,0.09%,1260.71
10/14/2019,-0.04%,1259.62
10/11/2019,0.09%,1260.11
10/10/2019,-0.07%,1259.01
10/09/2019,0.02%,1259.86
10/08/2019,-0.09%,1259.63
10/07/2019,0.04%,1260.75
10/04/2019,0.16%,1260.19
10/03/2019,-0.02%,1258.14
10/02/2019,-0.15%,1258.4
10/01/2019,0.02%,1260.32
09/30/2019,0.01%,1260.05
09/27/2019,0.02%,1259.94
09/26/2019,0.05%,1259.73
09/25/2019,-0.07%,1259.1
09/24/2019,0.01%,1259.93
09/23/2019,0.00%,1259.76
09/20/2019,0.03%,1259.7
09/19/2019,0.24%,1259.36
09/18/2019,0.10%,1256.38
09/17/2019,0.00%,1255.13
09/16/2019,-0.08%,1255.13
09/13/2019,0.02%,1256.17
09/12/2019,0.07%,1255.92
09/11/2019,0.07%,1255.07
09/10/2019,-0.21%,1254.2
09/09/2019,-0.11%,1256.9
09/06/2019,-0.03%,1258.31
09/05/2019,0.04%,1258.63
09/04/2019,0.04%,1258.14
09/03/2019,0.26%,1257.65
08/30/2019,0.15%,1254.44
08/29/2019,0.04%,1252.55
08/28/2019,0.07%,1252
08/27/2019,0.03%,1251.15
08/26/2019,0.06%,1250.81
08/23/2019,-0.20%,1250.02
08/22/2019,0.08%,1252.48
08/21/2019,0.08%,1251.5
08/20/2019,0.05%,1250.51
08/19/2019,0.07%,1249.88
08/16/2019,0.22%,1249.01
08/15/2019,0.00%,1246.33
08/14/2019,-0.07%,1246.29
08/13/2019,0.00%,1247.17
08/12/2019,-0.08%,1247.16
08/09/2019,-0.04%,1248.13
08/08/2019,0.33%,1248.64
08/07/2019,0.09%,1244.5
08/06/2019,-0.12%,1243.43
08/05/2019,-0.37%,1244.92
08/02/2019,-0.02%,1249.5
08/01/2019,0.01%,1249.77
07/31/2019,-0.06%,1249.65
07/30/2019,0.00%,1250.35
07/29/2019,0.02%,1250.39
07/26/2019,0.00%,1250.17
07/25/2019,0.02%,1250.12
07/24/2019,0.11%,1249.85
07/23/2019,0.10%,1248.52
07/22/2019,-0.01%,1247.27
07/19/2019,-0.02%,1247.35
07/18/2019,0.03%,1247.57
07/17/2019,-0.07%,1247.21
07/16/2019,0.05%,1248.04
07/15/2019,0.10%,1247.41
07/12/2019,0.05%,1246.18
07/11/2019,0.03%,1245.56
07/10/2019,0.06%,1245.19
07/09/2019,-0.05%,1244.44
07/08/2019,-0.24%,1245.01
07/05/2019,0.00%,1248.03
07/03/2019,0.19%,1248.01
07/02/2019,0.14%,1245.68
07/01/2019,0.31%,1243.98
06/28/2019,0.15%,1240.1
06/27/2019,0.10%,1238.22
06/26/2019,-0.09%,1237.02
06/25/2019,-0.05%,1238.13
06/24/2019,-0.03%,1238.76
06/21/2019,-0.09%,1239.1
06/20/2019,0.21%,1240.22
06/19/2019,0.15%,1237.6
06/18/2019,0.28%,1235.7
06/17/2019,-0.07%,1232.25
06/14/2019,0.04%,1233.11
06/13/2019,0.03%,1232.61
06/12/2019,0.12%,1232.22
06/11/2019,0.13%,1230.71
06/10/2019,0.32%,1229.15
06/07/2019,0.02%,1225.27
06/06/2019,0.02%,1225.06
06/05/2019,0.17%,1224.87
06/04/2019,0.07%,1222.81
06/03/2019,0.13%,1221.98
05/31/2019,-0.03%,1220.43
05/30/2019,-0.03%,1220.86
05/29/2019,-0.05%,1221.24
05/28/2019,0.02%,1221.86
05/24/2019,0.07%,1221.6
05/23/2019,-0.01%,1220.8
05/22/2019,0.02%,1220.9
05/21/2019,0.07%,1220.64
05/20/2019,-0.19%,1219.76
05/17/2019,-0.03%,1222.12
05/16/2019,0.22%,1222.46
05/15/2019,0.15%,1219.81
05/14/2019,-0.06%,1218.01
05/13/2019,-0.29%,1218.68
05/10/2019,0.07%,1222.27
05/09/2019,-0.19%,1221.41
05/08/2019,-0.11%,1223.79
05/07/2019,-0.26%,1225.08
05/06/2019,-0.04%,1228.27
05/03/2019,0.06%,1228.73
05/02/2019,-0.07%,1227.96
05/01/2019,0.00%,1228.85
04/30/2019,0.01%,1228.84
04/29/2019,0.01%,1228.78
04/26/2019,0.16%,1228.61
04/25/2019,0.05%,1226.59
04/24/2019,0.04%,1226.01
04/23/2019,0.07%,1225.55
04/22/2019,0.08%,1224.75
04/18/2019,0.01%,1223.81
04/17/2019,-0.03%,1223.69
04/16/2019,0.04%,1224.05
04/15/2019,0.05%,1223.53
04/12/2019,0.01%,1222.87
04/11/2019,0.01%,1222.75
04/10/2019,0.05%,1222.64
04/09/2019,-0.05%,1222.07
04/08/2019,0.02%,1222.64
04/05/2019,0.01%,1222.39
04/04/2019,0.02%,1222.29
04/03/2019,-0.41%,1222.11
04/02/2019,0.10%,1227.09
04/01/2019,0.42%,1225.84
03/29/2019,-0.20%,1220.76
03/28/2019,-0.05%,1223.21
03/27/2019,0.01%,1223.78
03/26/2019,0.02%,1223.62
03/25/2019,-0.05%,1223.4
03/22/2019,-0.04%,1224.01
03/21/2019,-0.02%,1224.53
03/20/2019,-0.04%,1224.79
03/19/2019,0.08%,1225.23
03/18/2019,-0.07%,1224.3
03/15/2019,0.02%,1225.18
03/14/2019,0.04%,1224.89
03/13/2019,0.04%,1224.42
03/12/2019,0.04%,1223.93
03/11/2019,0.20%,1223.4
03/08/2019,-0.13%,1220.91
03/07/2019,-0.09%,1222.56
03/06/2019,0.04%,1223.7
03/05/2019,-0.04%,1223.2
03/04/2019,-0.08%,1223.69
03/01/2019,0.15%,1224.64
02/28/2019,-0.01%,1222.84
02/27/2019,-0.10%,1222.92
02/26/2019,0.04%,1224.19
02/25/2019,0.05%,1223.71
02/22/2019,0.11%,1223.08
02/21/2019,-0.04%,1221.71
02/20/2019,0.03%,1222.16
02/19/2019,0.14%,1221.82
02/15/2019,0.14%,1220.07
02/14/2019,0.07%,1218.33
02/13/2019,-0.09%,1217.53
02/12/2019,0.20%,1218.63
02/11/2019,-0.04%,1216.23
02/08/2019,-0.02%,1216.76
02/07/2019,-0.15%,1216.98
02/06/2019,-0.03%,1218.81
02/05/2019,0.31%,1219.22
02/04/2019,0.06%,1215.49
02/01/2019,-0.03%,1214.76
01/31/2019,0.30%,1215.15
01/30/2019,0.12%,1211.46
01/29/2019,-0.01%,1209.95
01/28/2019,-0.02%,1210.1
01/25/2019,0.08%,1210.39
01/24/2019,0.15%,1209.41
01/23/2019,-0.01%,1207.55
01/22/2019,-0.23%,1207.72
01/18/2019,0.07%,1210.55
01/17/2019,0.01%,1209.7
01/16/2019,0.09%,1209.59
01/15/2019,0.19%,1208.51
01/14/2019,-0.09%,1206.24
01/11/2019,0.12%,1207.28
01/10/2019,0.22%,1205.88
01/09/2019,0.07%,1203.2
01/08/2019,0.15%,1202.31
01/07/2019,0.29%,1200.46
01/04/2019,0.45%,1197.02
01/03/2019,-0.13%,1191.62
01/02/2019,0.28%,1193.19
12/31/2018,0.31%,1189.86
12/28/2018,0.16%,1186.21
12/27/2018,0.18%,1184.36
12/26/2018,0.45%,1182.18
12/24/2018,-0.36%,1176.89
12/21/2018,-0.26%,1181.16
12/20/2018,-0.47%,1184.27
12/19/2018,-0.21%,1189.86
12/18/2018,0.03%,1192.34
12/17/2018,-0.31%,1192
12/14/2018,-0.12%,1195.76
12/13/2018,-0.27%,1197.18
12/12/2018,0.16%,1200.4
12/11/2018,-0.04%,1198.5
12/10/2018,-0.25%,1198.97
12/07/2018,-0.32%,1202.01
12/06/2018,-0.26%,1205.84
12/04/2018,-0.61%,1209.01
12/03/2018,0.26%,1216.39
11/30/2018,0.17%,1213.22
11/29/2018,0.07%,1211.17
11/28/2018,0.22%,1210.35
11/27/2018,-0.18%,1207.68
11/26/2018,0.00%,1209.86
11/23/2018,0.08%,1209.88
11/21/2018,0.35%,1208.93
11/20/2018,-0.25%,1204.77
11/19/2018,-0.17%,1207.79
11/16/2018,-0.17%,1209.8
11/15/2018,0.00%,1211.81
11/14/2018,-0.11%,1211.79
11/13/2018,-0.17%,1213.07
11/12/2018,-0.49%,1215.08
11/09/2018,-0.38%,1221.09
11/08/2018,-0.17%,1225.69
11/07/2018,0.22%,1227.79
11/06/2018,0.05%,1225.05
11/05/2018,-0.03%,1224.43
11/02/2018,-0.04%,1224.79
11/01/2018,0.37%,1225.29
10/31/2018,0.57%,1220.75
10/30/2018,0.20%,1213.87
10/29/2018,-0.31%,1211.47
10/26/2018,-0.37%,1215.2
10/25/2018,0.28%,1219.69
10/24/2018,-0.64%,1216.23
10/23/2018,-0.31%,1224.1
10/22/2018,-0.18%,1227.84
10/19/2018,-0.07%,1230.09
10/18/2018,-0.27%,1230.93
10/17/2018,0.06%,1234.24
10/16/2018,0.33%,1233.55
10/15/2018,-0.01%,1229.54
10/12/2018,0.02%,1229.62
10/11/2018,-0.68%,1229.39
10/10/2018,-0.62%,1237.82
10/09/2018,-0.30%,1245.53
10/08/2018,-0.26%,1249.25
10/05/2018,-0.39%,1252.56
10/04/2018,-0.41%,1257.44
10/03/2018,0.33%,1262.65
10/02/2018,-0.20%,1258.52
10/01/2018,0.09%,1261.03
09/28/2018,0.07%,1259.88
09/27/2018,-0.04%,1258.94
09/26/2018,-0.21%,1259.45
09/25/2018,-0.04%,1262.09
09/24/2018,-0.04%,1262.64
09/21/2018,0.00%,1263.1
09/20/2018,0.11%,1263.09
09/19/2018,-0.06%,1261.71
09/18/2018,0.23%,1262.45
09/17/2018,-0.07%,1259.59
09/14/2018,0.18%,1260.5
09/13/2018,-0.03%,1258.26
09/12/2018,-0.06%,1258.6
09/11/2018,0.20%,1259.34
09/10/2018,0.00%,1256.77
09/07/2018,0.00%,1256.78
09/06/2018,-0.46%,1256.74
09/05/2018,-0.34%,1262.5
09/04/2018,-0.14%,1266.84
08/31/2018,-0.09%,1268.61
08/30/2018,-0.03%,1269.71
08/29/2018,0.16%,1270.04
08/28/2018,0.10%,1268.05
08/27/2018,0.24%,1266.81
08/24/2018,0.02%,1263.83
08/23/2018,0.04%,1263.55
08/22/2018,0.06%,1262.99
08/21/2018,0.09%,1262.25
08/20/2018,0.02%,1261.13
08/17/2018,0.10%,1260.83
08/16/2018,0.17%,1259.56
08/15/2018,-0.25%,1257.47
08/14/2018,0.21%,1260.6
08/13/2018,-0.34%,1257.97
08/10/2018,-0.18%,1262.32
08/09/2018,0.02%,1264.6
08/08/2018,-0.06%,1264.29
08/07/2018,0.08%,1265.02
08/06/2018,0.06%,1264.03
08/03/2018,0.04%,1263.22
08/02/2018,-0.09%,1262.71
08/01/2018,0.07%,1263.79
07/31/2018,-0.05%,1262.9
07/30/2018,-0.21%,1263.51
07/27/2018,-0.09%,1266.11
07/26/2018,0.07%,1267.26
07/25/2018,-0.14%,1266.42
07/24/2018,-0.10%,1268.14
07/23/2018,-0.08%,1269.45
07/20/2018,-0.24%,1270.41
07/19/2018,0.10%,1273.47
07/18/2018,0.06%,1272.16
07/17/2018,0.08%,1271.34
07/16/2018,-0.47%,1270.37
07/13/2018,0.17%,1276.34
07/12/2018,0.24%,1274.2
07/11/2018,-0.32%,1271.15
07/10/2018,0.21%,1275.22
07/09/2018,0.26%,1272.51
07/06/2018,0.04%,1269.18
07/05/2018,0.07%,1268.67
07/03/2018,0.05%,1267.77
07/02/2018,0.18%,1267.1
06/29/2018,0.20%,1264.78
06/28/2018,-0.09%,1262.26
06/27/2018,0.02%,1263.36
06/26/2018,0.02%,1263.09
06/25/2018,-0.37%,1262.84
06/22/2018,0.17%,1267.47
06/21/2018,-0.31%,1265.32
06/20/2018,0.13%,1269.29
06/19/2018,-0.25%,1267.61
06/18/2018,-0.02%,1270.8
06/15/2018,-0.23%,1271.05
06/14/2018,-0.04%,1273.97
06/13/2018,-0.01%,1274.47
06/12/2018,0.09%,1274.57
06/11/2018,0.14%,1273.39
06/08/2018,-0.09%,1271.64
06/07/2018,0.11%,1272.82
06/06/2018,0.14%,1271.4
06/05/2018,0.18%,1269.64
06/04/2018,-0.04%,1267.34
06/01/2018,0.05%,1267.82
05/31/2018,0.06%,1267.13
05/30/2018,0.29%,1266.32
05/29/2018,-0.41%,1262.72
05/25/2018,-0.15%,1267.93
05/24/2018,-0.16%,1269.88
05/23/2018,-0.33%,1271.88
05/22/2018,-0.10%,1276.04
05/21/2018,0.09%,1277.33
05/18/2018,-0.06%,1276.22
05/17/2018,0.14%,1276.92
05/16/2018,0.16%,1275.14
05/15/2018,0.04%,1273.11
05/14/2018,0.10%,1272.66
05/11/2018,0.10%,1271.36
05/10/2018,0.06%,1270.07
05/09/2018,0.27%,1269.35
05/08/2018,-0.13%,1265.87
05/07/2018,0.28%,1267.53
05/04/2018,0.14%,1263.96
05/03/2018,-0.26%,1262.17
05/02/2018,0.16%,1265.5
05/01/2018,-0.03%,1263.47
04/30/2018,-0.07%,1263.8
04/27/2018,-0.09%,1264.69
04/26/2018,-0.03%,1265.79
04/25/2018,-0.05%,1266.21
04/24/2018,-0.19%,1266.9
04/23/2018,-0.19%,1269.29
04/20/2018,-0.20%,1271.67
04/19/2018,-0.24%,1274.17
04/18/2018,0.22%,1277.27
04/17/2018,0.32%,1274.42
04/16/2018,0.24%,1270.41
04/13/2018,-0.07%,1267.37
04/12/2018,0.09%,1268.3
04/11/2018,0.01%,1267.18
04/10/2018,0.53%,1267.02
04/09/2018,0.06%,1260.3
04/06/2018,-0.42%,1259.59
04/05/2018,0.17%,1264.94
04/04/2018,0.02%,1262.78
04/03/2018,0.19%,1262.47
04/02/2018,-0.21%,1260.04
03/29/2018,0.15%,1262.63
03/28/2018,-0.48%,1260.77
03/27/2018,-0.25%,1266.85
03/26/2018,0.28%,1270.02
03/23/2018,-0.35%,1266.53
03/22/2018,-0.51%,1270.91
03/21/2018,0.22%,1277.47
03/20/2018,0.11%,1274.71
03/19/2018,-0.33%,1273.32
03/16/2018,0.06%,1277.5
03/15/2018,-0.14%,1276.78
03/14/2018,-0.21%,1278.62
03/13/2018,-0.16%,1281.36
03/12/2018,0.14%,1283.45
03/09/2018,0.37%,1281.59
03/08/2018,0.00%,1276.89
03/07/2018,-0.08%,1276.86
03/06/2018,0.21%,1277.93
03/05/2018,0.24%,1275.29
03/02/2018,0.06%,1272.24
03/01/2018,-0.29%,1271.47
02/28/2018,-0.43%,1275.14
02/27/2018,-0.80%,1280.63
02/26/2018,0.12%,1290.91
02/23/2018,0.10%,1289.3
02/22/2018,-0.28%,1288.02
02/21/2018,0.09%,1291.59
02/20/2018,-0.21%,1290.47
02/16/2018,0.14%,1293.21
02/15/2018,0.31%,1291.46
02/14/2018,0.51%,1287.48
02/13/2018,0.13%,1280.99
02/12/2018,0.40%,1279.31
02/09/2018,-0.29%,1274.2
02/08/2018,-0.66%,1277.94
02/07/2018,-0.04%,1286.37
02/06/2018,-0.34%,1286.83
02/05/2018,-0.60%,1291.16
02/02/2018,-0.68%,1298.89
02/01/2018,0.08%,1307.79
01/31/2018,0.05%,1306.79
01/30/2018,-0.53%,1306.16
01/29/2018,-0.22%,1313.09
01/26/2018,0.39%,1315.98
01/25/2018,-0.08%,1310.86
01/24/2018,0.15%,1311.85
01/23/2018,0.24%,1309.84
01/22/2018,0.32%,1306.76
01/19/2018,0.22%,1302.6
01/18/2018,0.01%,1299.69
01/17/2018,0.08%,1299.59
01/16/2018,-0.19%,1298.52
01/12/2018,0.31%,1301.01
01/11/2018,0.36%,1296.95
01/10/2018,0.08%,1292.35
01/09/2018,0.09%,1291.34
01/08/2018,-0.05%,1290.22
01/05/2018,0.14%,1290.87
01/04/2018,0.36%,1289.1
01/03/2018,0.38%,1284.52
01/02/2018,0.31%,1279.61
12/29/2017,0.01%,1275.6
12/28/2017,0.03%,1275.52
12/27/2017,0.00%,1275.14
12/26/2017,-0.03%,1275.09
12/22/2017,0.10%,1275.46
12/21/2017,0.25%,1274.15
12/20/2017,0.07%,1270.98
12/19/2017,-0.03%,1270.09
12/18/2017,0.40%,1270.47
12/15/2017,0.21%,1265.42
12/14/2017,-0.19%,1262.8
12/13/2017,-0.16%,1265.16
12/12/2017,-0.03%,1267.2
12/11/2017,0.13%,1267.55
12/08/2017,0.35%,1265.96
12/07/2017,0.34%,1261.55
12/06/2017,-0.40%,1257.25
12/05/2017,-0.16%,1262.25
12/04/2017,-0.09%,1264.25
12/01/2017,-0.07%,1265.4
11/30/2017,0.14%,1266.3
11/29/2017,-0.04%,1264.54
11/28/2017,0.06%,1265.1
11/27/2017,-0.25%,1264.28
11/24/2017,0.11%,1267.47
11/22/2017,0.10%,1266.02
11/21/2017,0.39%,1264.72
11/20/2017,0.00%,1259.75
11/17/2017,0.09%,1259.73
11/16/2017,0.39%,1258.54
11/15/2017,-0.20%,1253.61
11/14/2017,-0.28%,1256.18
11/13/2017,-0.16%,1259.71
11/10/2017,0.05%,1261.72
11/09/2017,-0.32%,1261.12
11/08/2017,-0.28%,1265.15
11/07/2017,-0.13%,1268.68
11/06/2017,0.39%,1270.28
11/03/2017,-0.02%,1265.39
11/02/2017,-0.18%,1265.67
11/01/2017,0.20%,1267.94
10/31/2017,0.24%,1265.46
10/30/2017,0.04%,1262.39
10/27/2017,0.13%,1261.94
10/26/2017,0.01%,1260.34
10/25/2017,-0.15%,1260.23
10/24/2017,0.06%,1262.08
10/23/2017,-0.19%,1261.32
10/20/2017,0.18%,1263.7
10/19/2017,-0.09%,1261.39
10/18/2017,0.07%,1262.52
10/17/2017,-0.03%,1261.7
10/16/2017,0.05%,1262.13
10/13/2017,0.06%,1261.5
10/12/2017,-0.09%,1260.74
10/11/2017,0.05%,1261.9
10/10/2017,0.10%,1261.25
10/09/2017,-0.04%,1259.98
10/06/2017,-0.14%,1260.46
10/05/2017,-0.01%,1262.19
10/04/2017,0.11%,1262.3
10/03/2017,0.19%,1260.9
10/02/2017,0.14%,1258.53
09/29/2017,0.12%,1256.79
09/28/2017,0.08%,1255.33
09/27/2017,0.04%,1254.34
09/26/2017,-0.11%,1253.79
09/25/2017,-0.05%,1255.15
09/22/2017,0.04%,1255.82
09/21/2017,0.02%,1255.36
09/20/2017,0.02%,1255.15
09/19/2017,0.05%,1254.92
09/18/2017,0.08%,1254.28
09/15/2017,0.06%,1253.3
09/14/2017,0.04%,1252.51
09/13/2017,-0.10%,1251.97
09/12/2017,0.15%,1253.25
09/11/2017,0.08%,1251.39
09/08/2017,-0.09%,1250.34
09/07/2017,0.13%,1251.42
09/06/2017,-0.02%,1249.76
09/05/2017,-0.08%,1250.05
09/01/2017,0.14%,1251.07
08/31/2017,0.31%,1249.34
08/30/2017,0.13%,1245.44
08/29/2017,-0.04%,1243.84
08/28/2017,0.00%,1244.38
08/25/2017,0.19%,1244.38
08/24/2017,-0.03%,1242.01
08/23/2017,0.13%,1242.43
08/22/2017,0.26%,1240.78
08/21/2017,-0.02%,1237.57
08/18/2017,-0.01%,1237.79
08/17/2017,-0.28%,1237.86
08/16/2017,0.22%,1241.38
08/15/2017,-0.06%,1238.66
08/14/2017,0.23%,1239.34
08/11/2017,-0.04%,1236.47
08/10/2017,-0.34%,1236.95
08/09/2017,-0.25%,1241.22
08/08/2017,-0.05%,1244.34
08/07/2017,0.03%,1245
08/04/2017,0.04%,1244.62
08/03/2017,-0.22%,1244.12
08/02/2017,0.03%,1246.87
08/01/2017,0.06%,1246.48
07/31/2017,0.03%,1245.69
07/28/2017,-0.04%,1245.35
07/27/2017,-0.16%,1245.91
07/26/2017,0.13%,1247.86
07/25/2017,0.18%,1246.31
07/24/2017,-0.03%,1244.09
07/21/2017,-0.09%,1244.48
07/20/2017,0.11%,1245.58
07/19/2017,0.17%,1244.15
07/18/2017,-0.09%,1242.11
07/17/2017,0.05%,1243.23
07/14/2017,0.16%,1242.65
07/13/2017,0.08%,1240.61
07/12/2017,0.19%,1239.64
07/11/2017,0.09%,1237.35
07/10/2017,0.16%,1236.2
07/07/2017,0.08%,1234.21
07/06/2017,-0.09%,1233.28
07/05/2017,-0.01%,1234.43
07/03/2017,0.02%,1234.51
06/30/2017,-0.13%,1234.25
06/29/2017,-0.13%,1235.88
06/28/2017,0.22%,1237.43
06/27/2017,-0.24%,1234.69
06/26/2017,0.09%,1237.64
06/23/2017,0.08%,1236.59
06/22/2017,0.08%,1235.63
06/21/2017,0.00%,1234.68
06/20/2017,-0.02%,1234.71
06/19/2017,0.09%,1235.01
06/16/2017,0.18%,1233.92
06/15/2017,-0.24%,1231.66
06/14/2017,0.04%,1234.6
06/13/2017,0.16%,1234.08
06/12/2017,-0.20%,1232.07
06/09/2017,-0.03%,1234.53
06/08/2017,0.01%,1234.87
06/07/2017,-0.08%,1234.76
06/06/2017,-0.07%,1235.71
06/05/2017,-0.10%,1236.55
06/02/2017,0.26%,1237.82
06/01/2017,0.24%,1234.58
05/31/2017,0.09%,1231.62
05/30/2017,-0.13%,1230.5
05/26/2017,-0.06%,1232.08
05/25/2017,0.06%,1232.86
05/24/2017,0.12%,1232.16
05/23/2017,0.02%,1230.64
05/22/2017,0.07%,1230.34
05/19/2017,0.28%,1229.43
05/18/2017,-0.15%,1226.04
05/17/2017,-0.39%,1227.88
05/16/2017,0.03%,1232.73
05/15/2017,0.15%,1232.4
05/12/2017,-0.01%,1230.53
05/11/2017,-0.04%,1230.71
05/10/2017,0.02%,1231.17
05/09/2017,0.04%,1230.96
05/08/2017,-0.01%,1230.43
05/05/2017,0.16%,1230.6
05/04/2017,0.06%,1228.68
05/03/2017,-0.18%,1228
05/02/2017,0.16%,1230.19
05/01/2017,-0.03%,1228.22
04/28/2017,-0.03%,1228.62
04/27/2017,0.00%,1228.95
