,60/40,BTC,ETH,HFs,PE,RealEstate,SG Macro,SG CTA,Commodities,Gold
2006-05-18,136.3921690118831,,,1212.62,,11.783987728540955,260.75377,1604.404261,,67.45999908447266
2006-05-19,136.92949298047222,,,1211.11,,11.759867707583856,260.75377,1593.943545,,65.58000183105469
2006-05-22,136.38191690685912,,,1202.17,,11.68235220116039,260.75377,1585.224674,,65.30000305175781
2006-05-23,135.7447325340306,,,1204.32,,11.603119053064923,260.75377,1594.973806,,66.37999725341797
2006-05-24,136.4694090730849,,,1201.03,,11.622060963644262,260.75377,1577.189848,,64.05999755859375
2006-05-25,137.38213553718464,,,1205.74,,11.842549990972293,260.75377,1582.18954,,64.69999694824219
2006-05-26,137.84766879466335,,,1210.6,,11.954517813014702,260.75377,1579.325777,,65.0999984741211
2006-05-29,137.84766879466335,,,1210.6,,11.954517813014702,260.75377,1580.131233,,65.0999984741211
2006-05-30,136.33519512142797,,,1206.62,,11.859780556220072,260.75377,1592.203436,,65.11000061035156
2006-05-31,137.0693074004645,,,1210.04,,11.842549990972293,264.56548,1588.923496,,64.2300033569336
2006-06-01,137.94520880789312,,,1213.62,,12.09060061894186,264.56548,1584.569846,,62.560001373291016
2006-06-02,138.54563816969392,,,1216.09,,12.221514129367874,264.56548,1581.13133,,63.5
2006-06-05,137.22788337732763,,,1210.16,,12.2387396575433,264.56548,1581.795406,,63.290000915527344
2006-06-06,137.0769674212132,,,1204.77,,12.116435763034781,264.56548,1577.967461,,62.54999923706055
2006-06-07,136.39107771509063,,,1201.56,,12.164670767876624,264.56548,1574.811526,,62.279998779296875
2006-06-08,136.3961116055755,,,1194.9,,12.109546307325463,264.56548,1556.244499,,60.90999984741211
2006-06-09,136.27695217738537,,,1195.59,,12.221514129367874,264.56548,1556.057749,,60.45000076293945
2006-06-12,135.37585263174614,,,1190.08,,12.042371910440457,264.56548,1553.785905,,60.029998779296875
2006-06-13,134.5266958767701,,,1180.95,,11.885614441044908,264.56548,1542.629722,,55.91999816894531
2006-06-14,134.76500420696354,,,1182.39,,11.866666234125129,264.56548,1548.861948,,55.619998931884766
2006-06-15,136.3238954367439,,,1192.05,,12.073371312962168,264.56548,1553.400113,,57.31999969482422
2006-06-16,135.699137624051,,,1192.28,,12.106095912764408,264.56548,1556.615651,,57.68000030517578
2006-06-19,135.00492901900535,,,1190.25,,11.997583522355404,264.56548,1557.565187,,56.36000061035156
2006-06-20,135.2346066352552,,,1189.62,,11.923514632688729,264.56548,1561.412373,,57.29999923706055
2006-06-21,135.82120889192103,,,1192.75,,12.075093991706519,264.56548,1563.535894,,58.33000183105469
2006-06-22,135.2873228385137,,,1192.77,,11.988870646454696,264.56548,1568.883187,,57.72999954223633
2006-06-23,135.2262477568381,,,1194.13,,11.943664181364435,264.56548,1575.127342,,57.9900016784668
2006-06-26,135.54663089168383,,,1195.79,,12.063620800156968,264.56548,1582.53044,,58.279998779296875
2006-06-27,134.99447766280358,,,1192.38,,12.03928292582065,264.56548,1576.247794,,57.68000030517578
2006-06-28,135.35734213959805,,,1191.94,,12.081006255379569,264.56548,1577.792517,,57.540000915527344
2006-06-29,137.21040636667132,,,1199.19,,12.3278769491507,264.56548,1571.497125,,59.52000045776367
2006-06-30,137.40625217802605,,,1204.1,,12.38698447466413,264.80163,1567.034073,,61.22999954223633
