sigma_sr,reduction_ratio,t_eff_equivalent
0.05,4.561716713653357,20.809259375624386
0.075,3.0314452386684905,9.189660235045862
0.1,2.278152907237321,5.189980668753857
0.125,1.816736041269133,3.3005298436462405
0.15,1.525647569811478,2.3276005072716686
0.2,1.1634958866940335,1.3537226783539351
